surveyname,datestart,dateclose,crsnum,crsname,crsyear,deptname,crs_dir,resp_fac,eval_id,eval_uname,eval_email,tsubmit,mobile,gradyear,gender,program,research1,research2,research3,The instructor has set clear standards regarding their timeliness in responding to messages,The instructor has provided the appropriate information and contact details for technical concerns,The instructor showed interest in student progress,The instructor encourages learners to participate,The instructor implements Small Group Discussions (Breakout Rooms),The instructor provides equal opportunities for students to share ideas and viewpoints,The instructor requires learners to participate,The instructor provides platforms for Small Group Discussions,Tasks deployed require collaboration among students,The instructor interactively engages learners in a variety of instructional delivery methods,The instructor deploys various active learning techniques (role-playing  case studies  group projects  think-pair-share  debates  etc.),The instructor provides students access to resources that enrich the course content,The instructor demonstrates a thorough knowledge of the subject matter,The instructor provides examples  case studies  or problem sets that required higher-order thinking skills,The instructor explains the significance of the lessons,Tasks and assessments increase their level of challenge,The instructor provides examples or models of what is expected,Course outcomes are clearly presented,Course deadlines are clearly set,Provides reminders regarding upcoming deadlines,The instructor provides clear guidelines and/or rubrics of the learning activities,The instructor provides Information Feedback (Evaluation of Work  Answers to Questions  Comments on Submissions),The instructor provides Acknowledgment Feedback (acknowledges communication sent by student),The instructor returns assessments in a timely fashion,The instructor engages students in learning activities that address a variety of learning styles and preferences,The instructor adapts learning activities to accommodate students’ needs,Quality of work is praised,The instructor is effective in helping students develop their knowledge  skills  and personalities enabling them to achieve the intended learning outcomes,Course assessments are authentic and measure Higher-Order Thinking Skills,The instructor provides sufficient attempts in the attainment of learning outcomes,Comments on the Instructor,Comments on the Course
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103-B.C411.1T.23.24 C411,Updates in Financial Reporting Standards,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/31/23 18:30,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,N/A,N/A
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103-B.C411.1T.23.24 C411,Updates in Financial Reporting Standards,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/11/23 15:22,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Very kind and considerate.,It helps me recall my Financial Reporting lessons and enhanced my solving skills.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/24/23 23:13,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,4,5,5,3,4,4,2,5,4,4,4,4,4,The instructor is interactive towards the students.,The course is comprehensive.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/26/23 18:16,0,,,Default,,,,5,5,4,5,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,4,N/A,N/A
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/9/23 1:29,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Ehe,Ngi
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/26/23 20:13,0,,,Default,,,,4,4,3,3,-1,3,3,2,4,4,-1,4,4,4,3,4,4,4,-1,-1,4,-1,-1,3,3,4,3,4,4,4,so far there have been some parts that were not explained clearly but other than that its ok,the course is fine
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/6/23 22:18,0,,,Default,,,,1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,"The instructor was not able to keep up with her missed lessons, causing the class to be behind in academics concerning her course. Therefore, I conclude is needs improvement in her work ethics.","The course should&#8217;ve been more easy to understand, but, because of missed sessions we have found it hard on our part as students from different walks of life."
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/16/23 19:52,0,,,Default,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,The instructor takes a lot of time deciding on the class schedule and it just wastes a lot of time especially for those students who are travelling from different parts of the city and from different cities. The way she answers our questions or makes comments about us is not student friendly.,"The course is great, but the class schedule needs to be clearly discussed since the instructor is from another institution and the students are having a hard time adjusting to the last-minute announcements that she gives regarding the class modality (if it's online or face-to-face)."
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/11/23 0:01,0,,,Default,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/13/23 16:16,1,,,Default,,,,5,5,5,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/28/23 20:24,0,,,Default,,,,2,3,3,4,2,3,3,2,-1,3,-1,3,3,3,3,4,3,3,3,3,3,3,3,2,3,2,2,2,3,2,None,None
